FIPS2,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
F13009,86.48,30.9,42.77,2.5,2.42
F13011,75.08,17.2,19.5,2.94,2.97
F13013,86.51,13,23.6,3.1,2.92
F13015,86.24,15.3,22.04,3.05,2.98
F13017,83.57,32.7,45.15,2.65,2.41
F13019,79.6,26.6,24.04,3.22,3.11
F13021,86.37,37.4,48.78,2.58,2.39
F13023,89.55,28.1,37.74,3.2,2.96
F13025,80.52,26.6,25.21,3.08,3.26
F13027,83.89,32.5,39.03,2.59,2.47
F13029,92.76,9.8,23.27,3.39,3.22
F13031,88.17,23.1,28.81,2.97,2.89
F13033,81.38,31.6,37.12,2.64,2.7
F13035,80.15,37,41.05,2.6,2.75
F13037,75.54,35.9,43.16,2.45,2.47
F13039,91.77,12.9,30.1,3.3,3.26
F13043,78.44,31.8,34.24,2.83,2.51
F13045,85.03,21.5,32.22,3.15,3.12
F13047,88.89,14.2,18.75,3.06,2.71
F13049,80.22,30.6,29.41,2.75,2.65
F13051,90.09,24.5,40,2.7,2.62
F13053,94.18,14.7,27.54,3.06,2.99
F13055,72.3,26.7,25.73,3.04,2.95
F13057,92.09,8.8,17.41,3.2,3.3
F13059,89.46,23.1,35.01,2.55,2.74
F13061,82.92,43.3,68.41,2.26,2.04
F13063,84.92,25,44.87,2.51,2.55
F13065,72.18,29.9,47.64,2.83,2.68
F13067,92.58,10.6,24.59,3.22,2.99
F13069,74.85,32.7,32.42,3,2.99
F13071,74.6,28.9,39.85,2.77,2.72
F13073,92.96,8.5,16.84,3.29,3.32
F13075,80.75,29.8,27.56,2.39,2.48
F13077,90.44,11.8,24.08,3.19,2.93
F13079,83.06,25.1,35.79,2.89,2.84
F13081,82.75,36,61.73,2.47,2.6
F13083,81.51,15.5,20.16,3.13,3.15
F13085,88.34,12.6,26.07,3.12,3.28
F13087,82.87,36.8,45.68,2.89,2.97
F13089,90.3,23.8,35.98,2.78,2.56
F13091,85.67,27.8,38.56,2.91,2.69
F13093,80.47,35.2,31.4,2.34,1.95
F13095,84.4,38.1,53.05,2.51,2.56
F13097,87.71,16.5,32.25,2.99,2.82
F13099,80.95,36.2,50.87,2.64,2.76
F13101,76.85,31.2,12.47,2.79,2.54
F13103,89.41,11.3,19.29,3.28,3.12
F13105,78.76,38,31.84,2.6,2.63
F13107,79.25,34.3,39.79,2.85,2.6
F13109,77.01,29.5,37.94,2.23,2.49
F13111,88.01,24.1,29.69,3.3,3.02
F13113,95.51,7.2,21.54,3.49,3.38
F13115,83.67,26.2,33.33,2.91,3.07
F13117,93.37,5.4,10.82,3.69,3.73
F13119,81.57,23.7,32.04,2.65,2.66
F13121,93.07,17.5,36.12,2.95,2.85
F13123,84.37,23.5,29.21,2.89,2.81
F13125,76.09,18.5,49.77,2.98,3.01
F13127,88.63,24.5,33.93,2.96,2.85
F13129,77.92,15,23.69,2.96,2.83
F13131,81.27,27.4,29.62,2.57,2.72
F13133,86.95,28.5,44.78,3.04,3.2
F13135,87.95,13.5,21.59,3.22,3.17
F13137,80.18,16.8,16.22,3.14,3.07
F13139,79.19,19.6,23.94,2.67,2.69
F13141,70.32,41.2,75.96,2.38,1.59
F13143,82.28,20,23.16,3.15,3.1
F13145,93.63,11.1,15.8,3.18,2.95
F13147,82.77,22,15.91,3.01,2.77
F13149,81.88,21.2,25.94,3.38,3.03
F13151,91.77,13.1,28.45,2.76,2.65
F13153,92.56,15.6,26.07,3.12,2.96
F13155,81.2,30.9,30.48,2.93,2.86
F13157,85.34,11.4,17.61,3.25,3.22
F13159,85.08,21.6,27.72,2.77,2.45
F13161,78.4,29.4,31.32,3.03,2.84
F13163,78.49,33.1,46.07,2.41,2.4
F13165,78.14,35.7,53.45,2.93,2.83
F13167,74.04,30.7,39.93,2.87,2.83
F13169,91.69,16.6,26.13,3.1,2.88
F13171,87.2,20.9,26.27,3.15,3.01
F13173,84.94,31.9,21.64,3.07,3.05
F13175,86.28,31,40.3,2.83,2.89
F13177,92.16,14.7,22.51,3.29,3.64
F13179,91.85,22.6,33.5,2.94,2.75
F13181,84.58,27.5,38.22,3.11,3.12
F13183,86.02,23.5,33.67,2.98,2.88
F13185,88.3,27.3,35.82,3.01,2.89
F13187,86,16.2,19.25,3.18,3.19
F13189,84.42,27.8,54.25,2.57,2.63
F13191,86.5,32,19.6,2.48,2.56
F13193,72.33,38,59.85,2.44,2.06
F13195,83.3,19.7,34.84,3.26,3.22
F13197,79.95,31.8,25.9,2.92,2.51
F13199,81.46,33.3,44.07,2.66,2.54
F13201,85.36,29,28.18,2.67,2.67
F13205,79.95,50.1,49.6,2.77,2.8
F13207,86.85,17.9,21.2,3.31,3.01
F13209,83.33,26,25.01,2.7,2.66
F13211,88.74,18.1,20.06,3.12,3.15
F13213,72.27,23.3,23.85,2.84,2.89
F13215,88.15,29.8,41.81,2.79,2.46
F13217,87.14,21.4,27.68,2.92,2.63
F13219,94.93,6.8,16.32,3.64,3.63
F13221,83.5,20.6,30.29,3.03,3.27
F13223,90.47,9.9,17.91,3.12,2.95
F13225,84.4,28.6,33.97,2.82,2.62
F13227,87.53,18,14.68,3.04,3.09
F13229,84,24,31.01,3.37,3.51
F13231,87.15,12.5,13.15,3.25,3.11
