FIPS,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
08001,84.73,12.1,23.21,2.82621435,2.685074427
08003,87.24,20.9,19.43,2.957987264,2.931426265
08005,92.26,8.4,22.57,3.106546128,3.021048461
08007,94.14,16.2,8.7,2.884501324,2.649992958
08009,85.96,24,10.86,,
08011,88.38,27.2,20.21,3.101427599,3.090565411
08013,95.53,6.3,19.18,3.360225777,3.297308361
08014,96.82,4.1,14.6,3.571602078,3.442566272
08015,94.08,11.2,32.06,2.954680904,2.594055749
08017,94.73,18.1,8.94,,
08019,97.48,9.3,18.92,2.907854173,2.787351477
08021,87.73,22.4,18.88,3.392976487,3.237726217
08023,84.8,32.2,43.55,2.503467066,2.214468673
08025,87.45,29.5,25.24,,
08027,96.38,23.2,20.33,3.204295876,3.32164652
08029,89.77,15.4,26.16,3.154494788,2.982201044
08031,89.13,17.3,27.62,3.072303837,2.953863267
08033,95.49,15.3,20.14,,
08035,97.95,2.6,11.44,,
08037,90.92,7.2,23.6,2.983420248,2.851656734
08039,96.42,6.8,10.73,3.099506789,2.980636881
08041,94.47,11.4,22.42,3.246061105,3.146246805
08043,89.31,17.7,17.41,2.972495811,2.765526236
08045,89.02,9.4,17.18,2.957771382,2.750267793
08047,94.27,7.8,22.14,3.376442742,3.477851878
08049,94.96,9,12.37,3.045777276,2.86284429
08051,97.65,8.8,14.54,2.907240822,2.455009506
08053,95.87,18.8,35.09,,
08055,92.66,32.3,32.32,2.968333666,2.798454096
08057,88.16,16.7,3.91,,
08059,94.82,6.6,19.86,3.315907776,3.249564271
08061,97.16,15.9,14.32,3.56260274,3.704663184
08063,89.89,15.5,13.73,2.532535604,
08065,88.7,14.1,17.05,2.387317008,2.334018829
08067,95.97,12.2,20.04,3.030512827,2.659329393
08069,96.19,7.6,17.29,3.405222225,3.31563311
08071,90.5,23.4,31.03,3.178077276,3.066140703
08073,90.05,18.3,18.78,3.117516598,2.971614186
08075,90.49,14.7,25.66,,
08077,90.55,13.6,25.99,2.950175048,2.8015261
08079,98,15,10.85,,
08081,89.92,12.1,29.83,3.072195432,2.723468316
08083,90.54,20,25.55,2.837573764,2.658271288
08085,88.93,15.1,19.12,2.953359161,2.91165756
08087,79.36,12.4,21.68,2.911009723,2.728355847
08089,89.11,24.7,22.22,2.976164869,2.749446523
08091,98.52,8,15.02,3.187649131,3.159380638
08093,97.69,11.3,11.87,3.148458699,2.976494276
08095,87.73,14.9,10.92,,
08097,96.36,5.2,25.75,3.242983404,3.145916219
08099,80.69,21.7,21.32,2.918795463,2.869478064
08101,90.33,17.9,31.8,2.951189445,2.732179655
08103,91.87,10.9,17.7,2.96310377,2.970119723
08105,87.61,19.7,23.91,2.542030578,2.577234488
08107,95.45,6.2,14.6,3.451850995,3.344492528
08109,85.8,29.1,26.63,2.821933824,2.914715414
08111,95.84,17,12.61,,
08113,96.89,7.9,17.04,3.652435298,3.307613277
08115,89.37,22.1,22.66,,
08117,93.24,6.4,14.32,3.11516803,2.958720786
08119,96.72,11.7,16.09,3.019371221,2.839257798
08121,92.24,17.6,21.4,2.94867965,2.987410891
